disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
roseola,runny nose,rash,irritability,swollen lymph nodes,sore throat,red eyes,diarrhea,vomiting,abdominal pain,rashes,chills,feverish
shigellosis (bacillary dysentery),headache,loss of appetite,muscle aches,rashes,general discomfort,chills,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,headache,loss of appetite,feverish,rashes,general discomfort,chills,,,
roseola,rash,fatigue,swollen lymph nodes,sore throat,headache,red eyes,vomiting,body aches,chills,feverish,,
roseola,high fever,irritability,headache,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,rashes,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,stomach cramps,headache,feverish,rashes,general discomfort,chills,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,headache,abdominal pain,loss of appetite,dehydration,sweating,body aches,general discomfort,irritability
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,dehydration,sweating,body aches,general discomfort,fever,irritability,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,headache,muscle aches,body aches,feverish,general discomfort,chills,joint pain,,
roseola,runny nose,irritability,swollen lymph nodes,sore throat,headache,red eyes,vomiting,loss of appetite,abdominal pain,body aches,chills,feverish
shigellosis (bacillary dysentery),nausea,stomach cramps,dehydration,loss of appetite,general discomfort,chills,joint pain,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,stomach cramps,fatigue,dehydration,loss of appetite,rashes,joint pain,,
norovirus infection,diarrhea,vomiting,stomach cramps,nausea,abdominal pain,dehydration,chills,fever,,,,
norovirus infection,vomiting,stomach cramps,nausea,headache,fatigue,abdominal pain,body aches,general discomfort,fever,,,
norovirus infection,vomiting,stomach cramps,muscle aches,headache,fatigue,abdominal pain,chills,sweating,body aches,rashes,general discomfort,fever
"hand, foot, and mouth disease",rash on hands and feet,irritability,sore throat,blisters,fatigue,cough,headache,mild fever,difficulty swallowing,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,stomach cramps,body aches,rashes,,,,,
"hand, foot, and mouth disease",sores in mouth,blisters,cough,headache,general discomfort,,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,fatigue,dehydration,loss of appetite,body aches,rashes,general discomfort,chills,joint pain,
"hand, foot, and mouth disease",fever,sores in mouth,rash on hands and feet,sore throat,mouth sores,red spots,fatigue,mild fever,,,,
roseola,fatigue,swollen lymph nodes,headache,loss of appetite,rashes,feverish,,,,,,
mumps,"swollen, painful salivary glands",pain while chewing or swallowing,fever,muscle aches,loss of appetite,tiredness,loss of appetite,,,,,
roseola,irritability,fatigue,sore throat,headache,cough,vomiting,feverish,,,,,
roseola,high fever,rash,fatigue,sore throat,headache,vomiting,abdominal pain,rashes,,,,
norovirus infection,vomiting,low-grade fever,muscle aches,nausea,abdominal pain,loss of appetite,chills,general discomfort,,,,
roseola,rash,irritability,diarrhea,vomiting,abdominal pain,body aches,rashes,feverish,,,,
mumps,pain while chewing or swallowing,tiredness,loss of appetite,trouble chewing,fever,headache,muscle aches,tiredness,loss of appetite,,,
norovirus infection,muscle aches,nausea,headache,fatigue,abdominal pain,loss of appetite,dehydration,sweating,body aches,rashes,,
roseola,rash,fatigue,sore throat,cough,red eyes,loss of appetite,rashes,chills,feverish,,,
roseola,high fever,runny nose,rash,irritability,fatigue,sore throat,red eyes,loss of appetite,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,bloody stools,stomach cramps,fatigue,body aches,general discomfort,chills,joint pain,,,
shigellosis (bacillary dysentery),diarrhea,vomiting,bloody stools,fatigue,dehydration,loss of appetite,body aches,general discomfort,,,,
roseola,high fever,rash,irritability,cough,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,chills,feverish
roseola,high fever,irritability,sore throat,headache,red eyes,diarrhea,body aches,rashes,feverish,,,
roseola,high fever,runny nose,irritability,fatigue,headache,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,feverish,
norovirus infection,muscle aches,headache,abdominal pain,loss of appetite,chills,sweating,body aches,fever,irritability,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,headache,muscle aches,joint pain,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,bloody stools,stomach cramps,fatigue,feverish,general discomfort,chills,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,dehydration,sweating,rashes,general discomfort,fever,irritability,,,
roseola,sore throat,headache,cough,loss of appetite,body aches,chills,feverish,,,,,
roseola,irritability,cough,diarrhea,loss of appetite,rashes,feverish,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,bloody stools,fatigue,loss of appetite,muscle aches,,,,,,
shigellosis (bacillary dysentery),diarrhea,stomach cramps,headache,fatigue,dehydration,muscle aches,feverish,rashes,general discomfort,,,
scarlet fever,red lines in body folds,strawberry tongue,pale skin around lips,sore and red throat with patches,difficulty swallowing,"tender, enlarged neck glands",nausea or vomiting,abdominal pain,headache and body aches,,,
shigellosis (bacillary dysentery),headache,loss of appetite,muscle aches,body aches,joint pain,,,,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,bloody stools,stomach cramps,headache,fatigue,loss of appetite,muscle aches,body aches,feverish,general discomfort,joint pain
shigellosis (bacillary dysentery),nausea,vomiting,stomach cramps,fatigue,muscle aches,body aches,rashes,chills,joint pain,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,bloody stools,stomach cramps,fatigue,muscle aches,feverish,rashes,chills,,,
"hand, foot, and mouth disease",fever,sores in mouth,rash on hands and feet,loss of appetite,sore throat,mouth sores,blisters,fatigue,cough,sore muscles,headache,mild fever,difficulty swallowing
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,headache,fatigue,dehydration,loss of appetite,rashes,joint pain,,,,
roseola,cough,red eyes,diarrhea,vomiting,feverish,,,,,,,
roseola,high fever,runny nose,rash,fatigue,sore throat,diarrhea,loss of appetite,body aches,rashes,chills,feverish,
common cold,"scratchy, tickly throat",watering eyes,achy muscles and bones,headache,chills,,,,,,,
roseola,runny nose,irritability,swollen lymph nodes,sore throat,headache,cough,red eyes,diarrhea,loss of appetite,body aches,,
shigellosis (bacillary dysentery),stomach cramps,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,chills,joint pain,
norovirus infection,vomiting,low-grade fever,nausea,headache,fatigue,abdominal pain,chills,sweating,body aches,rashes,general discomfort,
shigellosis (bacillary dysentery),fever,vomiting,bloody stools,stomach cramps,dehydration,loss of appetite,feverish,rashes,general discomfort,joint pain,,
roseola,high fever,runny nose,rash,irritability,swollen lymph nodes,cough,red eyes,diarrhea,vomiting,body aches,rashes,feverish
roseola,rash,swollen lymph nodes,headache,cough,red eyes,diarrhea,vomiting,loss of appetite,body aches,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,nausea,headache,fatigue,abdominal pain,loss of appetite,chills,sweating,general discomfort,fever,irritability
norovirus infection,vomiting,stomach cramps,muscle aches,nausea,abdominal pain,chills,sweating,body aches,general discomfort,fever,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,fatigue,dehydration,loss of appetite,muscle aches,body aches,chills,,,
norovirus infection,vomiting,low-grade fever,headache,fatigue,abdominal pain,loss of appetite,chills,sweating,body aches,irritability,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,dehydration,feverish,general discomfort,joint pain,,,,
roseola,high fever,runny nose,irritability,fatigue,swollen lymph nodes,sore throat,red eyes,diarrhea,abdominal pain,rashes,chills,
roseola,runny nose,rash,irritability,red eyes,vomiting,body aches,rashes,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,bloody stools,stomach cramps,dehydration,loss of appetite,body aches,feverish,joint pain,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,cough,red eyes,diarrhea,abdominal pain,feverish,,
norovirus infection,stomach cramps,low-grade fever,headache,dehydration,body aches,rashes,,,,,,
norovirus infection,vomiting,low-grade fever,muscle aches,nausea,dehydration,sweating,body aches,rashes,fever,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,nausea,abdominal pain,loss of appetite,irritability,,,,,
norovirus infection,diarrhea,stomach cramps,nausea,headache,dehydration,fever,,,,,,
norovirus infection,low-grade fever,headache,fatigue,abdominal pain,loss of appetite,chills,sweating,body aches,general discomfort,,,
roseola,high fever,rash,irritability,headache,cough,loss of appetite,abdominal pain,rashes,chills,feverish,,
norovirus infection,diarrhea,vomiting,nausea,dehydration,body aches,general discomfort,irritability,,,,,
roseola,high fever,runny nose,irritability,fatigue,sore throat,headache,red eyes,diarrhea,abdominal pain,body aches,rashes,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,fatigue,cough,sore muscles,mild fever,,,,,
mumps,pain while chewing or swallowing,fever,muscle aches,tiredness,loss of appetite,headache,loss of appetite,,,,,
roseola,high fever,rash,irritability,swollen lymph nodes,sore throat,cough,diarrhea,vomiting,abdominal pain,body aches,chills,feverish
roseola,irritability,swollen lymph nodes,sore throat,red eyes,loss of appetite,rashes,feverish,,,,,
"hand, foot, and mouth disease",fever,sores in mouth,rash on hands and feet,sore throat,blisters,fatigue,sore muscles,headache,mild fever,difficulty swallowing,,
scarlet fever,swollen glands,fever,fever (100.4�f / 38.0�c or higher),difficulty swallowing,headache and body aches,,,,,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,red spots,cough,headache,general discomfort,mild fever,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,stomach cramps,dehydration,muscle aches,body aches,chills,joint pain,,,
roseola,high fever,runny nose,headache,cough,red eyes,abdominal pain,chills,,,,,
shigellosis (bacillary dysentery),bloody stools,headache,fatigue,dehydration,loss of appetite,rashes,general discomfort,chills,,,,
roseola,high fever,rash,sore throat,loss of appetite,body aches,rashes,feverish,,,,,
roseola,high fever,rash,irritability,fatigue,headache,cough,red eyes,diarrhea,loss of appetite,body aches,rashes,chills
norovirus infection,vomiting,stomach cramps,headache,fatigue,abdominal pain,dehydration,body aches,fever,irritability,,,
norovirus infection,vomiting,low-grade fever,muscle aches,headache,abdominal pain,dehydration,body aches,rashes,fever,,,
roseola,high fever,runny nose,irritability,sore throat,headache,red eyes,diarrhea,body aches,,,,
roseola,high fever,runny nose,rash,swollen lymph nodes,headache,red eyes,loss of appetite,abdominal pain,body aches,feverish,,
"hand, foot, and mouth disease",rash on hands and feet,irritability,blisters,cough,,,,,,,,
roseola,rash,fatigue,sore throat,cough,loss of appetite,chills,,,,,,
roseola,runny nose,fatigue,headache,cough,red eyes,loss of appetite,abdominal pain,rashes,feverish,,,
roseola,high fever,runny nose,fatigue,sore throat,headache,cough,vomiting,abdominal pain,body aches,rashes,chills,feverish
shigellosis (bacillary dysentery),diarrhea,bloody stools,stomach cramps,fatigue,dehydration,body aches,rashes,general discomfort,joint pain,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,dehydration,rashes,chills,joint pain,,,,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,nausea,headache,abdominal pain,sweating,rashes,irritability,,,
norovirus infection,nausea,loss of appetite,chills,body aches,general discomfort,irritability,,,,,,
roseola,runny nose,fatigue,diarrhea,body aches,chills,feverish,,,,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,nausea,chills,sweating,rashes,fever,irritability,,,
roseola,rash,irritability,headache,red eyes,vomiting,loss of appetite,abdominal pain,body aches,rashes,chills,feverish,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,red spots,sore muscles,mild fever,,,,,,
roseola,rash,irritability,headache,abdominal pain,body aches,chills,,,,,,
norovirus infection,vomiting,nausea,headache,fatigue,loss of appetite,dehydration,chills,sweating,body aches,general discomfort,fever,
norovirus infection,vomiting,nausea,headache,sweating,general discomfort,fever,irritability,,,,,
shigellosis (bacillary dysentery),vomiting,bloody stools,stomach cramps,headache,fatigue,dehydration,body aches,rashes,general discomfort,joint pain,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,fatigue,muscle aches,body aches,feverish,rashes,general discomfort,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,chills,body aches,rashes,general discomfort,fever,irritability
scarlet fever,sore throat,red lines in body folds,strawberry tongue,pale skin around lips,fever (100.4�f / 38.0�c or higher),sore and red throat with patches,difficulty swallowing,"tender, enlarged neck glands",abdominal pain,headache and body aches,,
shigellosis (bacillary dysentery),nausea,vomiting,stomach cramps,fatigue,muscle aches,,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,bloody stools,headache,fatigue,dehydration,feverish,general discomfort,,,
roseola,high fever,rash,irritability,fatigue,headache,cough,loss of appetite,body aches,rashes,chills,,
norovirus infection,nausea,headache,abdominal pain,loss of appetite,dehydration,body aches,rashes,fever,,,,
roseola,high fever,runny nose,fatigue,swollen lymph nodes,red eyes,diarrhea,vomiting,chills,feverish,,,
